Median Age,Smoking history,Current drinker,Obesity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Mortality
50,3,0,0,15,18,5,11,0,0,5,3,34,0
49,1,0,0,9,8,2,5,0,0,2,1,18,0
76,1,0,0,4,3,3,3,0,0,3,2,9,1
48,1,0,0,2,7,0,3,0,0,0,0,7,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0
52,12,0,0,32,10,7,2,7,0,0,1,3,0
50,8,0,0,19,8,5,1,4,0,0,1,2,0
57,4,0,0,13,2,2,1,3,0,0,0,1,0
53,0,0,4,13,9,6,8,5,0,0,0,6,0
52,0,0,0,66,27,0,0,0,0,0,0,58,0
50,0,0,0,36,14,0,0,0,0,0,0,22,0
53,0,0,0,30,13,0,0,0,0,0,0,36,0
72,0,0,51,74,38,68,36,15,10,0,43,43,0
83,0,0,6,68,32,61,32,15,0,0,41,37,0
44,0,0,9,4,5,4,2,0,0,0,0,3,0
63,0,0,4,2,1,3,2,0,1,0,2,3,0
60,2,0,0,0,9,5,4,2,15,7,15,35,1
52,2,0,0,0,2,2,2,1,6,0,3,9,0
65,0,0,0,0,7,3,2,1,9,7,12,26,1
54,6,0,0,37,15,15,5,7,7,7,6,0,0
46,2,0,0,15,3,0,0,2,2,0,2,0,0
61,4,0,0,22,12,14,4,5,5,7,4,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,1,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,1,0
54,0,0,0,133,84,21,0,0,0,0,0,0,0
49,0,0,0,40,29,7,0,0,0,0,0,0,0
65,0,0,0,49,29,5,0,0,0,0,0,0,0
47,0,0,0,23,13,3,0,0,0,0,0,0,0
66,0,0,0,21,13,6,0,0,0,0,0,0,0
61,38,36,0,105,47,41,6,5,5,41,7,29,0
56,12,18,0,39,14,8,0,0,3,8,4,8,0
64,22,12,0,56,22,22,5,4,2,22,3,15,0
70,4,6,0,10,11,11,1,1,0,11,0,6,0
59,18,0,0,61,28,21,4,13,0,0,6,0,0
54,11,0,0,28,12,4,0,7,0,0,1,0,0
71,7,0,0,33,16,17,4,6,0,0,5,0,1
64,0,0,0,127,60,44,12,9,4,22,14,22,0
74,0,0,0,49,20,24,6,7,2,13,5,13,1
60,0,0,0,78,7,20,6,2,2,9,9,9,0
48,0,0,0,21,11,3,0,0,0,0,0,0,0
41,0,0,0,11,6,0,0,0,0,0,0,0,0
64,0,0,0,9,5,3,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0
