ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,"Hypertension,Diabetes", Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,"Chronic kidney/renal disease,Other",Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),"Headache,Sputum (/Expectoration)",Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia, Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
6.0,China,Beijing,57,Positive only,45.0,40.40%,0%,0%,100%,0%,0%,,,,5.30%,5.30%,,1.80%,,82.50%,,57.90%,14%,,33.30%,33.30%,,1.80%,5.30%,7%,,,,,0%,0
6.0,China,Beijing,20,Positive only,69.0,55.00%,0%,0%,100%,0%,0%,,,,15.00%,5%,,5%,,95%,,80.00%,40%,,10.00%,10.00%,,0.00%,15.00%,15%,,,,,0%,0.25
7.0,China,Wuhan,36,Positive only,69.4,83.30%,0%,0%,100%,0%,0%,,,,19.40%,5.60%,,5.6,,,,,100%,,,,,,,,,,,,,0.64
7.0,China,Wuhan,22,Positive only,67.5,86.40%,0%,0%,100%,0%,0%,,,,18.20%,9.10%,,0.00%,,,,,100%,,,,,,,,,,,,,0.55
7.0,China,Wuhan,14,Positive only,72.6,78.60%,0%,0%,100%,0%,0%,,,,21.40%,0.00%,,14.30%,,,,,100%,,,,,,,,,,,,,0.79
8.0,Italy,Nationwide,3200,Positive only,80.0,70.60%,100%,0%,0%,0%,0%,,,,13.70%,19.50%,3.70%,,,76.00%,,40%,73.00%,,,,,8.00%,,,,,,,0.00%,1
9.0,China,Zhejiang,91,Positive only,,40.66%,0%,0%,100%,0%,0%,,,,,,,,,71.43%,,60.44%,3.30%,,5.49%,43.96%,,23.08%,6.59%,25.27%,,,,,,0
10.0,China,Seven hospitals,62,Positive only,41.0,56.50%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,1.60%,,11.30%,1.60%,,77.00%,3%,81%,3%,,52%,52%,,8%,,,,,,,,0
10.0,China,Seven hospitals,33,Positive only,45.0,57.60%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,3.00%,,12.10%,3.00%,,73.00%,3%,82%,6%,,58%,58%,,9%,,,,,,,,0
10.0,China,Seven hospitals,29,Positive only,39.0,55.20%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,0.00%,,10.30%,0.00%,,83.00%,3%,79%,0%,,45%,45%,,0%,,,,,,,,0
